Date,Protein(g),Fat(g),Carbs(g),Total Cals,Weight(lbs),%Cals Protein,P:NPE ratio (cals),P:NPE (g),Delta Weight
5/4/2018,160.6,214.98,48.92,2772.9,168.076,0.231670814,0.301525464,0.60856385,2.059
5/5/2018,155.22,167.81,24.95,2230.97,170.135,0.27830047,0.385618195,0.805250052,-0.774
5/7/2018,174.49,172.39,17.58,2319.79,169.361,0.300872062,0.430353366,0.918513449,-2.972
5/9/2018,166.47,148.67,22.2,2092.71,166.389,0.318190289,0.466684889,0.974249429,1.559
5/10/2018,198.19,140.6,21.27,2143.24,167.948,0.36988858,0.587020911,1.224377587,1.404
5/11/2018,198.63,142.91,20.21,2161.55,169.352,0.367569568,0.581201583,1.217692496,1.145
5/14/2018,183.48,141.08,21.54,2089.8,170.497,0.351191502,0.54128684,1.128274505,-1.927
5/15/2018,176.12,143.79,18.17,2071.27,168.57,0.34011983,0.515426657,1.087428995,-2.879
5/17/2018,174.33,138.74,34.06,2082.22,165.691,0.334892567,0.503516499,1.008854167,1.362
5/18/2018,175.24,132.94,19.78,1976.54,167.053,0.354639926,0.54952257,1.147459403,-2.998
5/20/2018,178.13,166.42,27.61,2320.74,164.055,0.30702276,0.443048837,0.918053909,-1.466
5/21/2018,192.75,171.9,31.08,2442.42,162.589,0.315670523,0.461284417,0.949600946,2.118
5/22/2018,160.2,150.76,38.46,2151.48,164.707,0.297841486,0.42417984,0.846633548,1.799
5/24/2018,177.96,147.29,36.99,2185.41,166.506,0.325723777,0.483071724,0.965704363,0.798
5/25/2018,188.41,177,28.78,2461.76,167.304,0.306138698,0.441210219,0.915589464,0.188
5/26/2018,245.21,174.28,43.56,2723.6,167.492,0.360126303,0.562808419,1.125642674,1.107
5/27/2018,184.23,151.39,32.7,2230.23,168.599,0.33042332,0.493480925,1.000760498,-2.024
5/28/2018,168.4,203.37,33.6,2638.33,166.575,0.25531302,0.342846091,0.710638477,0.974
5/29/2018,180.34,142.87,23,2099.19,167.549,0.343637308,0.523547898,1.087236993,0.862
5/30/2018,166.83,156.21,33.09,2205.57,168.411,0.302561243,0.43381765,0.881299525,0.979
5/31/2018,178.09,162.36,16.93,2241.32,169.39,0.317830564,0.465911469,0.993306933,0.029
6/1/2018,218.08,168.13,30.86,2508.93,169.419,0.347686065,0.533004198,1.095934469,-3.4
6/2/2018,199.97,142.45,17.28,2151.05,166.019,0.371855605,0.591990645,1.251925124,0.666
6/3/2018,167.51,114.88,31.64,1830.52,166.685,0.366038066,0.577381773,1.143256893,-0.483
6/4/2018,165.25,140.47,19.45,2003.03,166.202,0.33000005,0.492537425,1.033329165,-0.013
6/6/2018,172.45,158.16,17.35,2182.64,166.189,0.316039292,0.462072292,0.982565096,-0.964
6/7/2018,158.91,150.46,34.39,2127.34,165.225,0.298795679,0.426117852,0.859670003,-0.822
6/8/2018,184.5,168.35,28.71,2367.99,164.403,0.311656722,0.452763514,0.936263067,0.26
6/9/2018,235.27,211.19,38.84,2997.15,164.663,0.313991625,0.457708152,0.940967084,1.458
6/10/2018,192.06,184.06,40.96,2588.62,166.121,0.296775888,0.422021776,0.853524131,0
