"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"358","1250.8","3451.0","187.0","54","484","18","120"
"359","1254.2","3460.0","187.0","54","484","18","120"
"360","1257.5","3469.0","184.6","56","491","18","120"
"361","1260.9","3478.0","185.4","55","489","18","120"
"362","1264.1","3487.0","185.4","55","489","18","120"
"363","1267.5","3496.0","182.6","57","498","18","121"
"364","1270.8","3505.0","185.4","55","489","18","121"
"365","1274.2","3514.0","185.4","55","489","18","121"
"366","1277.6","3523.0","194.5","48","463","17","121"
"367","1281.2","3533.0","190.4","51","474","18","121"
"368","1284.7","3542.0","189.5","51","477","17","120"
"369","1288.0","3551.0","188.7","52","479","17","119"
"370","1291.0","3559.0","183.4","57","495","18","119"
"371","1293.9","3567.0","176.7","63","518","20","119"
"372","1297.2","3576.0","176.7","63","518","20","120"
"373","1300.4","3585.0","189.7","51","476","19","120"
"374","1303.6","3594.0","189.7","51","476","19","121"
"375","1306.7","3602.0","183.0","57","496","19","121"
"376","1309.9","3611.0","177.9","62","514","19","122"
"377","1313.2","3620.0","177.9","62","514","19","122"
"378","1316.6","3630.0","180.1","60","506","18","122"
"379","1320.0","3639.0","181.9","58","500","17","122"
"380","1323.3","3648.0","188.1","53","481","18","122"
"381","1326.7","3657.0","188.1","53","481","18","121"
"382","1329.9","3666.0","182.7","57","497","19","121"
"383","1333.2","3675.0","182.7","57","497","19","122"
"384","1336.5","3684.0","182.7","57","497","18","122"
"385","1339.7","3693.0","184.3","56","492","18","123"
"386","1343.4","3702.0","187.2","53","483","19","123"
"387","1346.7","3711.0","192.2","49","469","16","123"
"388","1350.0","3719.0","194.5","48","463","18","122"
"389","1353.3","3728.0","193.5","48","466","18","121"
"390","1356.5","3737.0","193.5","48","466","18","120"
"391","1359.9","3746.0","185.2","55","489","18","120"
"392","1363.3","3755.0","183.0","57","496","17","120"
"393","1366.7","3764.0","183.0","57","496","17","121"
"394","1370.1","3774.0","182.5","58","498","17","122"
"395","1373.5","3783.0","181.9","58","500","18","123"
"396","1376.9","3793.0","181.9","58","500","18","123"
"397","1380.4","3802.0","182.7","57","497","17","124"
"398","1383.6","3810.0","186.6","54","485","17","124"
"399","1388.4","3822.0","203.0","42","444","13","123"
"400","1391.4","3830.0","203.0","42","444","13","122"
"401","1394.9","3840.0","184.0","56","493","18","121"
"402","1398.1","3848.0","184.0","56","493","18","120"
"403","1401.3","3857.0","180.9","59","503","18","119"
"404","1404.6","3867.0","180.9","59","503","18","119"
"405","1407.9","3876.0","179.6","60","508","19","119"
"406","1411.3","3885.0","183.8","56","494","17","119"
"407","1414.7","3894.0","183.8","56","494","17","119"
"408","1418.2","3904.0","185.4","55","489","17","120"
"409","1421.5","3913.0","184.6","56","491","17","120"
"410","1425.0","3922.0","186.4","54","486","18","120"
"411","1428.4","3931.0","185.5","55","488","17","120"
"412","1431.8","3940.0","184.2","56","492","18","121"
"413","1435.2","3950.0","184.2","56","492","18","121"
"414","1438.7","3959.0","183.1","57","496","18","121"
"415","1442.0","3968.0","184.5","56","492","17","122"
"416","1445.5","3978.0","184.5","56","492","18","122"
"417","1449.1","3988.0","184.5","56","492","17","122"
"418","1452.5","3997.0","182.7","57","497","17","123"
"419","1456.0","4007.0","180.1","60","506","17","123"
"420","1459.9","4017.0","194.1","48","464","15","123"
"421","1463.5","4026.0","194.1","48","464","15","122"
"422","1467.1","4036.0","192.1","49","470","17","122"
"423","1470.7","4045.0","189.7","51","476","17","121"
"424","1474.3","4055.0","191.9","50","470","17","121"
"425","1478.0","4064.0","191.9","50","470","17","120"
"426","1481.6","4074.0","191.8","50","470","16","120"
"427","1485.0","4083.0","190.1","51","475","17","119"
"428","1488.4","4092.0","183.9","56","493","18","119"
"429","1491.8","4102.0","181.3","59","502","18","120"
"430","1495.1","4111.0","181.3","59","502","18","121"
"431","1498.4","4120.0","180.2","60","506","18","121"
"432","1501.9","4129.0","187.8","53","482","18","121"
"433","1505.5","4138.0","187.8","53","482","18","121"
"434","1509.1","4148.0","193.1","49","467","16","121"
"435","1512.6","4157.0","191.3","50","472","17","120"
"436","1516.0","4166.0","186.0","54","487","17","120"
"437","1519.4","4176.0","184.0","56","493","18","121"
"438","1522.7","4185.0","187.1","53","484","18","121"
"439","1526.3","4194.0","189.6","51","476","17","121"
"440","1529.7","4203.0","189.6","51","476","17","121"
"441","1533.1","4212.0","196.1","46","460","17","121"
"442","1536.6","4221.0","189.1","52","478","18","120"
"443","1539.9","4230.0","185.6","55","488","18","120"
"444","1543.4","4239.0","184.5","56","492","17","120"
