Day,Exercise,Minutes,Calories Burned
2018-4-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-307.86
2018-4-2,"yoga, Hatha",30.0,-61.57
2018-4-3,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-205.24
2018-4-4,"yoga, Hatha",30.0,-61.29
2018-4-6,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",40.0,-268.36
2018-4-7,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-300.03
2018-4-9,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-203.64
2018-4-9,"yoga, Hatha",30.0,-61.09
2018-4-10,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",32.0,-304.51
2018-4-11,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",55.0,-367.83
2018-4-12,"yoga, Hatha",45.0,-90.19
2018-4-13,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",40.0,-267.22
2018-4-14,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",35.0,-237.10
2018-4-16,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",32.0,-214.79
2018-4-18,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",42.0,-278.37
2018-4-20,"mowing lawn, walk, power mower, moderate or vigorous effort",48.0,-251.02
2018-4-24,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-205.26
2018-4-27,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-303.90
2018-4-28,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",75.0,-282.64
2018-4-30,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-201.70
2018-5-1,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",38.0,-256.08
2018-5-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-200.99
2018-5-4,"Custom Exercise",30.0,-100.00
2018-5-5,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-202.58
2018-5-7,"bicycling, leisure, 9.4 mph",130.0,-828.09
2018-5-8,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",35.0,-323.59
2018-5-9,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",50.0,-329.03
2018-5-10,"running, 6 mph (10 min/mile)",15.0,-175.98
2018-5-11,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-204.50
2018-5-12,"bicycling, leisure, 9.4 mph",220.0,-1419.57
2018-5-13,"yard work, general, light effort",60.0,-162.41
2018-5-14,"running, 6 mph (10 min/mile)",15.0,-175.56
2018-5-16,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-110.58
2018-5-16,"running, 6.7 mph (9 min/mile)",15.0,-187.59
2018-5-17,"mowing lawn, walk, power mower, moderate or vigorous effort",30.0,-158.22
2018-5-18,"rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce",35.0,-510.82
2018-5-19,"running, 6 mph (10 min/mile)",35.0,-401.31
2018-5-20,"walking for pleasure",30.0,-98.19
2018-5-21,"running, 6 mph (10 min/mile)",27.0,-306.65
2018-5-21,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",27.0,-246.12
2018-5-22,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",24.0,-103.85
2018-5-22,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",32.0,-209.79
2018-5-23,"running, 6.7 mph (9 min/mile)",17.0,-213.34
2018-5-24,"walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade",22.0,-126.90
2018-5-25,"running, 6 mph (10 min/mile)",20.0,-233.73
2018-5-26,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",30.0,-281.05
2018-5-28,"running, 6 mph (10 min/mile)",22.0,-259.10
2018-5-28,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-301.12
2018-5-29,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",22.0,-96.57
2018-5-29,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-198.34
2018-5-30,"running, 6.7 mph (9 min/mile)",15.0,-190.50
2018-5-30,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-200.52
2018-5-31,"walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade",20.0,-186.20
2018-6-1,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",25.0,-262.20
2018-6-1,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",9.0,-33.88
2018-6-1,"running, 6 mph (10 min/mile)",7.0,-82.83
2018-6-4,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-197.89
2018-6-5,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",40.0,-264.05
2018-6-6,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-196.73
2018-6-7,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",30.0,-129.84
2018-6-8,"mowing lawn, walk, power mower, moderate or vigorous effort",50.0,-261.85
2018-6-8,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",25.0,-229.12
2018-6-9,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",40.0,-365.40
2018-6-13,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",36.0,-243.66
2018-6-18,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-198.33
2018-6-18,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",16.0,-148.08
2018-6-19,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",16.0,-105.25
2018-6-19,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-110.52
2018-6-20,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-131.77
2018-6-20,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-110.69
2018-6-22,"walking, 4.0 mph, level, firm surface, very brisk pace",43.0,-230.24
2018-6-22,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-200.79
